message,food,recharge,support,reminders,travel,nearby,movies,casual,other
"i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 610916, user_id: 1955133, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
i need to know which airlines is the cheapest kolkata to jaipur,F,F,F,F,T,F,F,F,F
can you stop the reminder set for drinking water,F,F,F,T,F,F,F,F,F
is there12591 gop express  train on 5march at 3pm,F,F,F,F,T,F,F,F,F
7/ 3/ 17,F,F,F,T,T,F,F,F,F
plz send me some discount coupon for electricity bill,F,T,F,F,F,F,F,F,F
near nimhans hospital,T,F,T,F,T,T,T,F,F
the offer valid for telangana state r not,F,F,F,F,F,T,F,F,F
in bhwn eyes specialist hospital,F,F,F,F,F,T,F,F,F
i will give feedback after your reminder performance,F,F,F,T,F,F,F,F,F
citi bank atm i need,F,F,F,F,F,T,F,F,F
udaipur train schedule from jaipur,F,F,F,F,T,F,F,F,F
how far is filmcity gate no. 7 from goregaav local railway station,F,F,F,F,F,T,F,F,F
are not any cabs available????,F,F,F,F,T,F,F,F,F
no cashback??,F,F,F,F,T,F,F,F,F
tell me nearby places to visit for birthday celebration,F,F,F,F,T,T,F,F,F
hi can you please turn off the reminder i don't need it anymore anyway,F,F,F,T,F,F,F,F,F
i hv a child wid me,F,F,F,F,T,F,F,F,F
remind me of an appointment,F,F,F,T,F,F,F,F,F
reschedule it,F,F,F,T,F,F,F,F,F
i don't need train..,F,F,F,F,T,F,F,F,F
"		i would like to cancel my drink water reminder reminder for sat, 04 march at every 1 hour from 9:30 am to 6:30 pm. { reminder_list: 658338-658339-658340-658341-658342-658343, user_id: 1822150, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
"		i would like to cancel my wake up call for everyday at 06:00 am { reminder_list: 682755, user_id: 1977090, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
evryday,F,F,F,T,F,F,F,F,F
from tirupathi to hyderabad on 8th march ..2 adults 1 infant having 1 month age,F,F,F,F,T,F,F,F,F
from rosewood restaurant dange chowk,T,F,F,F,F,F,F,F,F
give me my last ticket pnr,F,F,F,F,T,F,F,F,F
today at 7pm,F,F,F,F,T,F,T,F,F
check in another date,F,F,F,F,T,F,F,F,F
stop water reminders,F,F,F,T,F,F,F,F,F
i want to book a cab,F,F,F,F,T,F,F,F,F
remind me to apply for sbi po exam on monday tomorrow 6 pm,F,F,F,T,F,F,F,F,F
"		i would like to cancel my `wish mounika happy birthday!` reminder for sun, 20 august at 12:00 am { reminder_list: 667515, user_id: 1971980, task_name: birthday, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
bagalkot to mumbai,F,T,F,F,F,F,F,F,F
is thr any discount coupan for raliway booking ??,F,F,F,F,T,F,F,F,F
"		i would like to cancel my `wish sayali happy birthday!` reminder for sat, 04 march at 07:55 am { reminder_list: 624916, user_id: 1861336, task_name: birthday, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
hey do u have any refferal code for ola cab,F,F,F,F,T,F,F,F,F
commando today shows,F,F,F,F,F,F,T,F,F
nanded to pune,F,F,F,F,T,F,F,F,F
there is no offers cash back recharge,T,F,T,F,T,F,T,F,F
"i would like to cancel my wake up call for wed, 01 march at 05:25 am { reminder_list: 664991, user_id: 1140979, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
chennai to zurich....all around europe..paris..amsterdam...for a honeymoon couple...preferably march end or april 17..15 days...,F,F,F,F,T,F,F,F,F
cancel my remainder to drink water,F,F,F,T,F,F,F,F,F
canu reminds to drive water?,F,F,F,T,F,F,F,F,F
what will be the charge of trip to manali for 2 person?,F,F,F,F,T,F,F,F,F
mujhe tatkal boking krani h,F,F,F,F,T,F,F,F,F
pondicherry,F,F,F,F,T,F,F,F,F
what's the estimate price,F,F,F,F,T,F,F,F,F
4541511755,F,F,F,F,T,F,F,F,F
can you please check why the recharge is not done,F,T,F,F,F,F,F,F,F
list of veg hotel,T,F,F,F,F,F,F,F,F
remind me on 3.4.17 at 9pm,F,F,F,T,F,F,F,F,F
ok please book a cab for me,F,F,F,F,T,F,F,F,F
i'm asking for drama,F,F,F,F,F,F,T,F,F
i need buy1 get 1,T,F,F,F,F,F,T,F,F
hi this would be for a take away,T,F,F,F,F,F,F,F,F
train seat booking,F,F,F,F,T,F,F,F,F
even the timings for buses is not available.?,F,F,F,F,T,F,F,F,F
16 or 17 it's flexible. need better prices,F,F,F,F,T,F,F,F,F
i am searching for a 2 bhk flat in gurgaon,F,F,F,F,F,T,F,F,F
please check that vit institute is certified or not at last they will give certificate to students or not,F,F,F,F,F,T,F,F,F
bus timetable pune to chopda,F,F,F,F,T,F,F,F,F
school in thane,F,F,F,F,F,T,F,F,F
i need food nearby,T,F,F,F,F,F,F,F,F
remind me to meet pratap on saturday,F,F,F,T,F,F,F,F,F
i think from kolkata have flight to bhutan,F,F,F,F,T,F,F,F,F
is this valid on share,F,F,F,F,T,F,F,F,F
from hyderabad airport to banjara hill road no 12,F,F,F,F,T,F,F,F,F
kirik party,F,F,F,F,F,F,T,F,F
i want this services,F,F,T,F,F,F,F,F,F
remaining remainders show me plese,F,F,F,T,F,F,F,F,F
from samolkot to vizag,F,F,F,F,T,F,F,F,F
these are not dance bar,F,F,F,F,F,T,F,F,F
how did you know that my bill came,F,T,F,F,F,F,F,F,F
i dnt have any messages  for the reservation  nor even mail,F,F,F,F,T,F,F,F,F
can you pls help me chose a good restaurant for lunch tomo,T,F,F,F,F,F,F,F,F
allahabad,F,F,F,F,T,F,F,F,F
i would like to know any nearby place where they can deliver a cake if ordered to the address??,T,F,F,F,F,F,F,F,F
remind me in every 2hrs pls,F,F,F,T,F,F,F,F,F
done.	bill paid. thanks..,F,T,F,F,F,F,F,F,F
santosh dhaba veggie,T,F,F,F,F,F,F,F,F
5758 train kakinada thirupathi pa passenger,F,F,F,F,T,F,F,F,F
"i would like to cancel my wake up call for wed, 01 march at 04:30 pm { reminder_list: 604103, user_id: 1413102, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
remind me for printing of all reports at 10.30,F,F,F,T,F,F,F,F,F
also i need reminder to buy medicine,F,F,F,T,F,F,F,F,F
minimum cab value kitni honi chahiye,F,F,F,F,T,F,F,F,F
i wanna cancel that anniversary reminder,F,F,F,T,F,F,F,F,F
north indian,T,F,F,F,F,F,F,F,F
17255,F,F,F,F,T,F,F,F,F
axis hdfc,F,F,F,F,F,T,F,F,F
cance tommorrow wake up,F,F,F,T,F,F,F,F,F
ok mam cheak where is my 37 cashback,F,T,F,F,F,F,F,F,F
"no ,i want to book my reminder again at 8.38 am tomorrow",F,F,F,T,F,F,F,F,F
please send me narayana hrudalaya hospital phone number to opd,F,F,F,F,F,T,F,F,F
set one reminder for me,F,F,F,T,F,F,F,F,F
i just wanted to use pool and gym,F,F,F,F,F,T,F,F,F
metro inox,F,F,F,F,F,F,T,F,F
"departure city: ndls/new delhi	destination city: lar/lalitpur	date of travel: march 4, 2017	class: sl - sleeper	number of adults: 1",F,F,F,F,T,F,F,F,F
2 hr,F,F,F,T,F,F,F,F,F
any tiffin service available here,F,F,T,F,F,F,F,F,F
110,T,T,T,F,T,F,T,F,F
i don't need uber.!!,F,F,F,F,T,F,F,F,F
"		i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 684427, user_id: 1977653, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
no it's am,F,F,F,T,F,F,F,F,F
don't remind me,F,F,F,T,F,F,F,F,F
again you did a mistake in my reminder,F,F,F,T,F,F,F,F,F
"		i would like to cancel my drink water reminder reminder for sun, 05 march at every 4 hours from 10:00 am to 8:00 pm. { reminder_list: 710967-710968-710969, user_id: 1982381, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
not trailer,F,F,F,F,F,F,T,F,F
where is my order,T,F,F,F,F,F,F,F,F
allahabad to varanasi ke liye koi train,F,F,F,F,T,F,F,F,F
"		i would like to view more reminders. { user_id: 1907250, offset: 5, api_name: exotel }",F,F,F,T,F,F,F,F,F
when can i get aadhar card center nearby ?,F,F,F,F,F,T,F,F,F
do you have anu coupon code for postpaid bill payment,F,T,F,F,F,F,F,F,F
nt anniversary,F,F,F,T,F,F,F,F,F
cancel the booking,F,F,F,F,T,F,F,F,F
4pm	today,F,F,F,T,F,F,F,F,F
m j library,F,F,F,F,F,T,F,F,F
yes i want reminder for meeting,F,F,F,T,F,F,F,F,F
sorry i looking for some fitness best gym,F,F,F,F,F,T,F,F,F
can you cancel my wake up calls,F,F,F,T,F,F,F,F,F
"		i want to know availability and fare in sleeper (sl) in train number 12604{product_id:12604_sc_mas,api_name:trains_api}",F,F,F,F,T,F,F,F,F
i want reminder of ambala cantt bus,F,F,F,T,F,F,F,F,F
can you check the status of my tdr?,F,F,F,F,T,F,F,F,F
is there any economy tickets available,F,F,F,F,T,F,F,F,F
u know in pune swargate is only one bus stand ok,F,F,F,F,T,F,F,F,F
well actually i'm planning for rameshwar so i'm looking for nearest airport and railway station for actual booking of ticket,F,F,F,F,T,F,F,F,F
mujhe indian bank ka atm chahiye,F,F,F,F,F,T,F,F,F
hi sir/ madam iwant to central bank atms,F,F,F,F,F,T,F,F,F
remind me every 2 hour for water,F,F,F,T,F,F,F,F,F
kya aap bta saktey ho pune sey dehradun k liye bhi koi flight jati h..,F,F,F,F,T,F,F,F,F
at 3 pm tomorrow,F,F,F,T,F,F,F,F,F
i haven't drunk water at on time,F,F,F,T,F,F,F,F,F
mobile postpd,F,T,F,F,F,F,F,F,F
but i will book only by june end,F,F,F,F,T,F,F,F,F
"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 684907, user_id: 1937936, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
"hey, can you find me the nearest atm?",F,F,F,F,F,T,F,F,F
show my reminders now,F,F,F,T,F,F,F,F,F
is there any offer for booking train tkt,F,F,F,F,T,F,F,F,F
go ahead please,T,F,T,F,T,F,T,F,F
"		i would like to cancel my call reminder reminder for everyday at 05:00 am { reminder_list: 631500, user_id: 1961281, task_name: call_someone, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
sorry please reschedule the same,F,F,F,T,T,F,F,F,F
best electricity bill payment is showing error,F,T,F,F,F,F,F,F,F
lwr r upr brth,F,F,F,F,T,F,F,F,F
can i recharge reliance jio,F,T,F,F,F,F,F,F,F
can you tell me any restaurants that will deliver food at this time near me,T,F,F,F,F,F,F,F,F
for 3rd to 4th march,F,F,F,T,T,F,F,F,F
what  vl  be the  ride cost  plz,F,F,F,F,T,F,F,F,F
any restaurant delivery in bankra,T,F,F,F,F,F,F,F,F
tickets are costly,F,F,F,F,T,F,F,F,F
icici atm,F,F,F,F,F,T,F,F,F
need a flight ticket vishakapattam to bangalore today 5th evening after 5 pm single male,F,F,F,F,T,F,F,F,F
sorry pick up location is wrong,F,F,F,F,T,F,F,F,F
travelling hours..??,F,F,F,F,T,F,F,F,F
any offers on electricity bill,F,T,F,F,F,F,F,F,F
food combo,T,F,F,F,F,F,F,F,F
i need a contact number of hotel manali castle in manali,F,F,F,F,T,F,F,F,F
hi.. will you tell me airfare for new delhi to hyderabad on 11 april.,F,F,F,F,T,F,F,F,F
maninagar,F,F,F,F,T,T,F,F,F
book,F,F,T,F,T,F,T,F,F
? which movie released or releasing today,F,F,F,F,F,F,T,F,F
"		i would like to cancel my wake up call for sun, 05 march at 02:13 pm { reminder_list: 713525, user_id: 1983938, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
can u find me a book?,F,F,F,F,F,T,F,F,F
can you tell me second sale bike dealers in delhi @110025,F,F,F,F,F,T,F,F,F
shridi,T,F,F,F,T,T,T,F,F
but on other site fare is 3974,F,F,F,F,T,F,F,F,F
can you check the paymnt,F,T,F,F,T,F,F,F,F
i want to know the pricing,T,F,T,F,T,F,T,F,F
distance from ahmedabad railway station to airport,F,F,F,F,T,F,F,F,F
opp ibm gate no. 1,F,F,F,F,F,T,F,F,F
web check in please,F,F,F,F,T,F,F,F,F
please help to order chiken spicy masala,T,F,F,F,F,F,F,F,F
any icici,F,F,F,F,F,T,F,F,F
13 march dj chetas concept program is tulip star tickit book,F,F,F,F,F,F,T,F,F
we will reach bagddogra on 22 airport,F,F,F,F,T,F,F,F,F
is it confirmed?,T,F,T,F,T,F,T,F,F
i want cab for gurgaon sector 74 sky view cooperate park,F,F,F,F,T,F,F,F,F
can we carry desi ghee in flights ??,F,F,F,F,T,F,F,F,F
by train?,F,F,F,F,T,F,F,F,F
can i get a cab,F,F,F,F,T,F,F,F,F
indian post nearby,F,F,F,F,F,T,F,F,F
please provide me best routin,F,F,F,F,F,T,F,F,F
search for meghana foods,T,F,F,F,F,F,F,F,F
act governed,F,F,F,F,F,T,F,F,F
is there any offer on movie tickets for commando 2,F,F,F,F,F,F,T,F,F
"i would like to cancel my medicine reminder for everyday at 10:15 am { reminder_list: 557548, user_id: 512674, task_name: medicine, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
where is cinepolis andheri west,F,F,F,F,F,F,T,F,F
wake me up at 6:05 am on 1st march 2017,F,F,F,T,F,F,F,F,F
want web check in,F,F,F,F,T,F,F,F,F
to pay postpaid bill,F,T,F,F,F,F,F,F,F
i m looking for salon,F,F,F,F,F,T,F,F,F
"dear ms. arora, for your upcoming trip pnr n6vuhp to bom on 04-mar-2017, use spiceclub points to pre-book bag out first, spicemax seats, hot meals, excess baggage, priority check-in, spicelounge now and go cashless. log on to https://goo.gl/wavo1g. for exciting fares and promos, download the official spicejet mobile app at http://goo.gl/1ivf3m. we look forward to welcoming you on board.",F,F,F,F,T,F,F,F,F
can i book can through haptik wallet or can pay through it ?,F,T,F,F,T,F,F,F,F
everything is good,F,F,F,F,F,F,T,F,F
can you please set up a wake up call for 6:18 am and 6:28 am.,F,F,F,T,F,F,F,F,F
pls rem8nd me to attend meeting at 12.40 today,F,F,F,T,F,F,F,F,F
is any cofirm ticket available on 28 april from vasai-thivim or vasai-pernem,F,F,F,F,T,F,F,F,F
the prices are too expensive,T,T,T,F,T,F,T,F,F
dangal,F,F,F,F,F,F,T,F,F
any cashback code for recharge??,F,T,F,F,F,F,F,F,F
piza,T,F,F,F,F,F,F,F,F
hey hasan can u find me idbi bank atm near me,F,F,F,F,F,T,F,F,F
upcoming movies,F,F,F,F,F,F,T,F,F
hey can remained me to have tablet at 7:30 pm daily till fifteen days,F,F,F,T,F,F,F,F,F
"in gandhinagar, any theater are available for this movie?",F,F,F,F,F,F,T,F,F
but dont remind between 2 pm to 5 pm,F,F,F,T,F,F,F,F,F
bus bookings,F,F,F,F,T,F,F,F,F
remove all alrams,F,F,F,T,F,F,F,F,F
recharge offer for idea prepaid,F,T,F,F,F,F,F,F,F
already i'm having jio...so i don't need immediately...🙂,F,T,F,F,F,F,F,F,F
check a place near by hopes college,F,F,F,F,F,T,F,F,F
book pune to bangalore flight,F,F,F,F,T,F,F,F,F
please inform them i will be there by 1:15pm,F,T,F,F,F,F,F,F,F
which one u will suggest to watch in this weekend,F,F,F,F,F,F,T,F,F
location ambernath,T,F,T,F,T,T,T,F,F
need one bhk,F,F,F,F,T,F,F,F,F
hey y d hell did u gv me a wake up call at 9.28 instead of 9.30 today morning😖,F,F,F,T,F,F,F,F,F
i want to order some food,T,F,F,F,F,F,F,F,F
one infante also,F,F,F,F,T,F,F,F,F
are you able to book,F,F,F,F,T,F,T,F,F
is there any coupon for me ??,F,F,F,F,T,F,F,F,F
latest news reminder daily at 9 pm,F,F,F,T,F,F,F,F,F
where can i repair my phillips trimmer in borivali?,F,F,F,F,F,T,F,F,F
where is british council? how do i take a admission?,F,T,F,F,F,F,F,F,F
or day time,F,F,F,F,T,F,T,F,F
pnr -8255989310 train 12052,F,F,F,F,T,F,F,F,F
can you cancel the wake up call..?,F,F,F,T,F,F,F,F,F
saturday,F,F,F,T,T,F,T,F,F
puna to balhandra,F,F,F,F,T,F,F,F,F
suratkal to anand,F,F,F,F,T,F,F,F,F
plumber charge kitana hain,F,F,T,F,F,F,F,F,F
"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 653719, user_id: 1677497, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
samsung sarvis centar,F,F,F,F,F,T,F,F,F
"		i want to know availability and fare in ac 3 tier (3a) in train number 12623{product_id:12623_mas_cngr,api_name:trains_api}",F,F,F,F,T,F,F,F,F
can u provide me the route to sec 35 gurgao,F,F,F,F,T,F,F,F,F
low cost,T,T,F,F,T,F,T,F,F
patuli,T,F,T,F,T,T,T,F,F
airtel prepaid unristected recharge,F,T,F,F,F,F,F,F,F
distance to peris,F,F,F,F,F,T,F,F,F
second class sitting,F,F,F,F,T,F,F,F,F
from tomorrow which movie is playing in jagdamba theatre vizag,F,F,F,F,T,F,F,F,F
not now but at 6:30 pm,F,F,F,T,F,F,F,F,F
22511,F,F,F,F,T,F,F,F,F
vijayawada trains list today,F,F,F,F,T,F,F,F,F
in sleeper,F,F,F,F,T,F,F,F,F
anything in rajasthani in kolkata ?,T,F,F,F,F,F,F,F,F
pls stop the remimder of morning alarm,F,F,F,T,F,F,F,F,F
"please proceed with below flights -		onward flight - rs.15330	indigo (6e-634)	lucknow to patna	departure: 08:35 am (13 mar)	arrival: 09:35 am (13 mar)	 {product_id:bbc5535331ee679376d81d9691add84c2be9c97d972496b9958a6378c6329c19aa791bd84caa5c8c284a73fd7cd810fcc8ad719231875ed4263b2fcc58567bbd, api_name:goibibo_api, type:onward_flight, others:onward flight - rs.15330 indigo (6e-634) lucknow to patna departure 0835 am (13 mar) arrival 0935 am (13 mar) }		return flight - rs.16700	indigo (6e-339)	patna to lucknow	departure: 10:55 am (17 mar)	arrival: 11:50 am (17 mar)	 {product_id:ded17710d6c9e294fe0ce6e138848cdf483b52204f5a1136d5afacc93c7743a0391879724124641a677a46cc41dd286edd1835e87647f2f5e119be0f7c5701a5, api_name:goibibo_api, type:return_flight, others:return flight - rs.16700 indigo (6e-339) patna to lucknow departure 1055 am (17 mar) arrival 1150 am (17 mar) }",F,F,F,F,T,F,F,F,F
hey.. can i set a remider to you..,F,F,F,T,F,F,F,F,F
don't let train number...,F,F,F,F,T,F,F,F,F
what about delivery{task},T,F,F,F,F,F,F,F,F
"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 716959, user_id: 1984500, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
"anything near kalyani nagar , koregaon park and vimannagar ... good restaurant",T,F,F,F,F,F,F,F,F
"		i would like to cancel my wake up call for fri, 03 march at 05:10 am { reminder_list: 688658, user_id: 1689565, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
top hospital,F,F,F,F,F,T,F,F,F
stop reminder for water,F,F,F,T,F,F,F,F,F
vijayawada,T,F,T,F,T,T,T,F,F
require one cab from chandigarh airport to ludhiana today at 10.00 am.,F,F,F,F,T,F,F,F,F
how to teach matheran from mumbai,F,F,F,F,T,F,F,F,F
pnr status 81568 93105,F,F,F,F,T,F,F,F,F
yes	please tell me their monthly charges?,F,F,F,F,F,T,F,F,F
saj3as9at,F,T,F,F,T,F,F,F,F
modeshwari mata mandir near mehsana timing,F,F,F,F,F,T,F,F,F
5 am today,F,F,F,T,T,F,F,F,F
will u give some infornation abiut some plans,F,T,F,F,F,F,F,F,F
no first just tell me a fair,F,F,F,F,T,F,F,F,F
good food trucks in pune,T,F,F,F,F,F,F,F,F
onward date - 15 march,F,F,F,F,T,F,F,F,F
am i getting 75 r/s discount,F,F,F,F,T,F,F,F,F
need cab,F,F,F,F,T,F,F,F,F
yaaman,F,F,F,F,F,F,T,F,F
"		i would like to cancel my wake up call for everyday at 04:00 am { reminder_list: 664652, user_id: 1858218, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
durranto to mumbai,F,F,F,F,T,F,F,F,F
internet 	i mean broadband bill,F,T,F,F,F,F,F,F,F
drinking water is must,F,F,F,T,F,F,F,F,F
i want remainder for my syrup,F,F,F,T,F,F,F,F,F
is dr is any offer,F,T,F,F,T,F,T,F,F
i want to cancell my booking,F,F,F,F,T,F,T,F,F
can u plss tell me the entry fess of snow world in phinix mall,F,F,F,F,F,T,F,F,F
"		i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 704083, user_id: 1981565, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
"i would like to cancel my reminder to 'play football this weekend' for this weekend (sat, sun) at 07:00 pm { reminder_list: 672897, user_id: 1689770, task_name: other, offset: 5, api_name: exotel }",F,T,F,F,F,F,F,F,F
looking for guitar classes,F,F,F,F,F,T,F,F,F
i don't want to cancel any reminder,F,F,F,T,F,F,F,F,F
pl book,F,F,T,F,T,F,T,F,F
the deal on domino's is better,T,F,F,F,F,F,F,F,F
please stop my wake up alarm nd water reminder,F,F,F,T,F,F,F,F,F
bike showroom,F,F,F,F,F,T,F,F,F
at 630 continuously until i wake up,F,F,F,T,F,F,F,F,F
hii i wana know any levi's or numero uno showrooms nearby,F,F,F,F,F,T,F,F,F
"i would like to view more reminders. { user_id: 1651614, offset: 5, api_name: exotel }",F,F,F,T,F,F,F,F,F
rogue one,F,F,F,F,F,F,T,F,F
i want to see ghazi attack,F,F,F,F,F,F,T,F,F
i don't hv ola or uber acct,F,F,F,F,T,F,F,F,F
pubs,T,F,F,F,F,F,F,F,F
other than authorized dealer can you help in find out any local service centre for servicing my pressure cooker,F,F,F,F,F,T,F,F,F
book ola micro from my current location to shaheen nagar hyderabad,F,F,F,F,T,F,F,F,F
dominoes,T,F,F,F,F,F,F,F,F
validity?,F,T,F,F,F,F,F,F,F
for tomorrow morning,F,F,T,F,T,F,T,F,F
any update on my last ride,F,F,F,F,T,F,F,F,F
axis bank atm only,F,F,F,F,F,T,F,F,F
hi! i'm looking for someone to help me with appliance repair.{task},F,F,T,F,F,F,F,F,F
train from shirdi to pune on 11 night of march pls help me,F,F,F,F,T,F,F,F,F
tell me abt the nearest atm in respect to my location,F,F,F,F,F,T,F,F,F
8286880094,F,T,F,F,T,F,F,F,F
please show me trains from bct to pune for ac first class (1a) on 11-03-2017.,F,F,F,F,T,F,F,F,F
wait i think i want return cab,F,F,F,F,T,F,F,F,F
daily i need this call,F,F,F,T,F,F,F,F,F
remind again in tommarow,F,F,F,T,F,F,F,F,F
but i am not in india,F,F,F,F,T,F,F,F,F
trains from mumbai to nashik,F,F,F,F,T,F,F,F,F
3:00 clock show,F,F,F,F,F,F,T,F,F
to lingampally,F,F,F,F,T,F,F,F,F
12/30/1899,F,F,F,T,F,F,F,F,F
do not wake me up,F,F,F,T,F,F,F,F,F
"		i would like to cancel my wake up call for fri, 03 march at 04:00 am { reminder_list: 688644, user_id: 1978586, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
eny lyf service center in new twon,F,F,F,F,F,T,F,F,F
pqwl1 means,F,F,F,F,T,F,F,F,F
it's come to davanagere also..?,F,F,F,F,T,F,F,F,F
for new users for dth recharge,F,T,F,F,F,F,F,F,F
go to dilshuknagar after 1pm today,F,F,F,T,F,F,F,F,F
for afternoon show,F,F,F,F,F,F,T,F,F
my friend coming by flight from dubai to kolkatta...,F,F,F,F,T,F,F,F,F
