message,food,support,reminders,movies,nearby,travel,recharge,ipl,casual,other
set alarms for today,F,F,T,F,F,F,F,F,F,F
call me 4 times at 8 am today 	morning,F,F,T,F,F,F,F,F,F,F
Can you give me same reminder for next 5 days?,F,F,T,F,F,F,F,F,F,F
awesome,F,F,F,F,F,F,F,F,T,F
i don't train number but i'm searching for rajadhani,F,F,F,F,F,T,F,F,F,F
pnr no 2809103244,F,F,F,F,F,T,F,F,F,F
Online order possible?,T,F,F,F,F,F,F,F,F,F
recent movies,F,F,F,T,F,F,F,F,F,F
atleast share something,F,F,F,F,F,F,F,F,T,F
Bus on 20th October,F,F,F,F,F,T,F,F,F,F
"vanisha ap achhe, help full ho",F,F,F,F,F,F,F,F,T,F
thanks will check,F,F,F,F,F,F,F,F,T,F
plz tell me,F,F,F,F,F,F,F,F,T,F
any match tdy,F,F,F,F,F,F,F,T,F,F
how???,F,F,F,F,F,F,F,F,T,F
can i know the current run rate,F,F,F,F,F,F,F,T,F,F
I want case for samsung galaxy a8,F,F,F,F,F,F,F,F,F,T
I want iru mugam film,F,F,F,T,F,F,F,F,F,F
"		i would like to cancel my wake up call for sun, 05 march at 05:01 am { reminder_list: 715186, user_id: 1646901, task_name: wakeup, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
I am looking for near by federal bank atm,F,F,F,F,T,F,F,F,F,F
SMS plan,F,F,F,F,F,F,T,F,F,F
its ok..,F,F,F,F,F,F,F,F,T,F
CAn i get a reminder on 10th sept to take the medicines,F,F,T,F,F,F,F,F,F,F
19707 is tain no from marwad junction to borivali i jst want to know that is there any seat to book on 16-3-17,F,F,F,F,F,T,F,F,F,F
not banglore,F,F,F,F,T,T,F,F,F,F
these flight timings r not sutable for me,F,F,F,F,F,T,F,F,F,F
temme about next bangalore match,F,F,F,F,F,F,F,T,F,F
Find out delhi to Bangkok for tomo flight ..only Thai airways,F,F,F,F,F,T,F,F,F,F
Actually set this exact similar reminder for a week..not just for monday??,F,F,T,F,F,F,F,F,F,F
i need chat,F,F,F,F,F,F,F,F,T,F
thanks a lot . will go through,F,F,F,F,F,F,F,F,T,F
hai good morning anjali,F,F,F,F,F,F,F,F,T,F
ipl details please,F,F,F,F,F,F,F,T,F,F
yes nsame _numeral_ uh,F,F,F,F,F,F,F,T,F,F
Hmmm hme braa ki pics send kejeye bra  me star bnee rehne chahye,F,F,F,F,F,F,F,F,F,T
ford services centre in powai,T,F,F,F,F,F,F,F,F,F
Mona mall patna ka ticket price kitna h,F,F,F,T,F,F,F,F,F,F
jamshedpur jharkhand,F,F,F,F,T,F,F,F,F,F
Thanxs is 63 upper berth,F,F,F,F,F,T,F,F,F,F
by 9:30 am,F,F,T,F,F,F,F,F,F,F
please stop all my wake up calls until lue further message,F,F,T,F,F,F,F,F,F,F
I want to go for a trip for two days..from guwahati..any good place nearby??,F,F,F,F,F,T,F,F,F,F
Set reminder tomorrow at 9AM to call Binoy,F,F,T,F,F,F,F,F,F,F
i need electritions,F,T,F,F,T,F,F,F,F,F
bike showroom,F,F,F,F,T,F,F,F,F,F
dude i don't want to make the payment,F,F,F,F,F,F,F,F,T,F
gym near me,F,F,F,F,T,F,F,F,F,F
please tell me results of _date_ s match,F,F,F,F,F,F,F,T,F,F
hii neha,F,F,F,F,F,F,F,F,T,F
at best price zirakpur,F,F,F,F,F,T,F,F,F,F
yoga class,F,F,F,F,T,F,F,F,F,F
Please wake...me up,F,F,T,F,F,F,F,F,F,F
how many wickets has fall,F,F,F,F,F,F,F,T,F,F
Pls also tell me their timings,F,F,F,T,F,F,F,F,F,F
pnr - 8256863402,F,F,F,F,F,T,F,F,F,F
i am poor,F,F,F,F,F,F,F,F,T,F
remind me tom aat 8 o clock mrng,F,F,T,F,F,F,F,F,F,F
Bags for macbook air 13 inch under 1000,F,F,F,F,F,F,F,F,F,T
what s d score can you help it out,F,F,F,F,F,F,F,T,F,F
I want to set a daily reminder for the medicines,F,F,T,F,F,F,F,F,F,F
Yamaha R15 all colours,F,F,F,F,F,F,F,F,F,T
book ac cab please,F,F,F,F,F,T,F,F,F,F
return date - 17 april,F,F,F,F,F,T,F,F,F,F
wanted to know what cancellation charges have been applied,F,F,F,F,F,T,F,F,F,F
i want nearby restaurant,T,F,F,F,T,F,F,F,F,F
visiting charges for electrician?,F,T,F,F,F,F,F,F,F,F
Give me d list of movies with cost and tymings in kanjurmarg 4 mrng show on friday....,F,F,F,T,F,F,F,F,F,F
ahemdabad to chennai  flights 10/3/17,F,F,F,F,F,T,F,F,F,F
tv electrical work man,F,T,F,F,F,F,F,F,F,F
heelo,F,F,F,F,F,F,F,F,T,F
How to get reliance jio sim,F,F,F,F,F,F,T,F,F,F
Formals,F,F,F,F,F,F,F,F,F,T
I want to know Samsung service center at my location,F,T,F,F,F,F,F,F,F,F
1st is to remind me to submit my conveyance form to accounts dept at 3 pm tomorrow,F,F,T,F,F,F,F,F,F,F
can i make the payment of my land line bills,F,F,F,F,F,F,T,F,F,F
no thank you for the update,F,F,F,F,F,F,F,T,F,F
give me continuous update,F,F,F,F,F,F,F,T,F,F
when is the semifinal bw ind nd wi then,F,F,F,F,F,F,F,T,F,F
want to book a cab,F,F,F,F,F,T,F,F,F,F
12/30/1899,F,F,F,F,F,T,F,F,F,F
i want to set a reminder call,F,F,T,F,F,F,F,F,F,F
Union bank of india ka atm kaha hai near..,F,F,F,F,T,F,F,F,F,F
can you wake me up at 6:30am today?,F,F,T,F,F,F,F,F,F,F
as soon as possible,F,F,F,F,F,F,F,F,T,F
I am looking for a decorative item for car deshboard,F,F,F,F,F,F,F,F,F,T
any offer available,F,F,F,F,F,T,F,F,F,F
i m new searching,F,F,F,F,F,F,F,F,T,F
Hotel in yadgir Karnataka,F,F,F,F,F,T,F,F,F,F
no one,F,F,F,F,F,F,F,F,T,F
hi.. that was by mistake,F,F,F,F,F,F,F,F,T,F
trivandrum,T,T,F,T,T,T,F,F,F,F
pls check rate for 9th march,F,F,F,F,F,T,F,F,F,F
I want some details about cabs,F,F,F,F,F,T,F,F,F,F
discontinue this water notification,F,F,T,F,F,F,F,F,F,F
i have samsung gear fit 2,F,F,F,F,F,F,F,F,T,F
"raipur , chhattisgarh",T,F,F,T,T,T,T,F,F,F
score update for current match please,F,F,F,F,F,F,F,T,F,F
sorry don't cancel the meeting tomorrow,F,F,T,F,F,F,F,F,F,F
how should i do that,F,F,F,F,F,F,F,F,T,F
Give me a reminder,F,F,T,F,F,F,F,F,F,F
any movie offers?,F,F,F,T,F,F,F,F,F,F
05 not honour,F,F,F,F,F,F,F,F,F,T
When is dodmane hudga relasing,F,F,F,T,F,F,F,F,F,F
Train tickets from Delhi to patna,F,F,F,F,F,T,F,F,F,F
it s not upto date,F,F,F,F,F,F,F,T,F,F
New Delhi to Lucknow,F,F,F,F,F,T,F,F,F,F
remind me for linkedin on 30th march 2017,F,F,T,F,F,F,F,F,F,F
Try to find  room in baangi hotel nadiad,F,F,F,F,F,T,F,F,F,F
i am planning to book by bus,F,F,F,F,F,T,F,F,F,F
yuppie rcb will win,F,F,F,F,F,F,F,T,F,F
meet sweetie at 5.50 pm,F,F,T,F,F,F,F,F,F,F
any news for match,F,F,F,F,F,F,F,T,F,F
sharadha score please,F,F,F,F,F,F,F,T,F,F
wre are you from,F,F,F,F,F,F,F,F,F,T
can you let me know if there is some service locally available which can fix my led tv on a wall mounting near my location,F,T,F,F,F,F,F,F,F,F
so kolkata may win,F,F,F,F,F,F,F,T,F,F
Banglore maisore untukamand trip frm 7 0r 8 to 14th November  frm surat 1time plane retrun plane pleasee sent package  details fr 2 couple with total 7th members,F,F,F,F,F,T,F,F,F,F
do u checking,F,F,F,F,F,F,F,F,T,F
pitch condition of mcb,F,F,F,F,F,F,F,T,F,F
what do you think n who will win,F,F,F,F,F,F,F,T,F,F
Please cancel my train booking,F,F,F,F,F,T,F,F,F,F
daniel tomorrow afternoon 2 o'clock surgery remind me by 1 o'clock,F,F,T,F,F,F,F,F,F,F
attipattu,F,F,F,F,F,T,F,F,F,F
13k,F,F,F,F,F,T,F,F,F,F
i really hate ipl,F,F,F,F,F,F,F,T,F,F
can i know _date_ s score,F,F,F,F,F,F,F,T,F,F
hello saumya,F,F,F,F,F,F,F,F,T,F
Give me the newly released trailers on imdb,F,F,F,T,F,F,F,F,F,F
call is not required,F,F,T,F,F,F,F,F,F,F
put off my daily reminder for medicine,F,F,T,F,F,F,F,F,F,F
find me joli llb 2 movie shows,F,F,F,T,F,F,F,F,F,F
menu of kfc in alapuzha?,T,F,F,F,F,F,F,F,F,F
Don't you provide any information regarding uber cab booking?,F,F,F,F,F,T,F,F,F,F
can you show me the bet pizza in domino's,T,F,F,F,F,F,F,F,F,F
please send me ipl points table,F,F,F,F,F,F,F,T,F,F
I want hiking bag man with 1 year warranty,F,F,F,F,F,F,F,F,F,T
Apple iPhone 6 16 GB & 64GB   Rate,F,F,F,F,F,F,F,F,F,T
please provide me ipl update,F,F,F,F,F,F,F,T,F,F
this app is work in online a offline,F,F,F,F,F,F,F,F,F,T
😂lol,F,F,F,F,F,F,F,F,T,F
no worries ✌️,F,F,F,F,F,F,F,F,T,F
is there a bus which I can catch from andheri?,F,F,F,F,F,T,F,F,F,F
next rcb match in bangalore,F,F,F,F,F,F,F,T,F,F
check me in online,F,F,F,F,F,T,F,F,F,F
Royal Enfield service centres,F,T,F,F,F,F,F,F,F,F
suggest me some rolls wraps,T,F,F,F,F,F,F,F,F,F
Please cancel reminder,F,F,T,F,F,F,F,F,F,F
Can you plz send mi the another no of Samsung service center he is not received the call,F,T,F,F,F,F,F,F,F,F
"		i would like to cancel my drink water reminder reminder for everyday at every 30 minutes from 10:00 am to 8:00 pm. { reminder_list: 708411, user_id: 1982800, task_name: drink_water, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
give me the latest,F,F,F,F,F,F,F,T,F,F
can you say  how to go birati from tollygunge,F,F,F,F,F,T,F,F,F,F
neer by tasmac,F,F,F,F,T,F,F,F,F,F
chicken blast,T,F,F,F,F,F,F,F,F,F
wo bole top floor pe parking hai,F,F,F,F,F,T,F,F,F,F
discount coupon?,F,F,F,T,F,T,T,F,F,F
And in women's,F,F,F,F,F,F,F,F,F,T
do you want to sleep,F,F,F,F,F,F,F,F,T,F
call reminder plz,F,F,T,F,F,F,F,F,F,F
Train timings,F,F,F,F,F,T,F,F,F,F
details?,F,F,F,F,T,F,F,F,F,F
i want to book the movie tickets right now,F,F,F,T,F,F,F,F,F,F
How many days running movie running in theatre,F,F,F,T,F,F,F,F,F,F
that's all,F,F,F,F,F,F,F,F,T,F
coffee shops,T,F,F,F,F,F,F,F,F,F
Please remind me for my spects every day in every 5 minutes,F,F,T,F,F,F,F,F,F,F
that is all. how will i be reminded ?,F,F,T,F,F,F,F,F,F,F
water tank,F,T,F,F,F,F,F,F,F,F
want professional person,F,F,F,F,F,F,F,F,T,F
hi ankita,F,F,F,F,F,F,F,F,T,F
No show only laptops which below 35000 price,F,F,F,F,F,F,F,F,F,T
"		i would like to cancel my drink water reminder reminder for everyday at every 2 hours from 10:00 am to 8:00 pm. { reminder_list: 727893, user_id: 1656706, task_name: drink_water, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
"		i want to know availability and fare in sleeper (sl) in train number 04401{product_id:04401_anvt_jat,api_name:trains_api}",F,F,F,F,F,T,F,F,F,F
12/30/1899,F,F,T,F,F,T,F,F,F,F
can u give me 5 pics of samantha ruth prabhu,F,F,F,F,F,F,F,F,F,T
no. i placed the order with swiggy.,T,F,F,F,F,F,F,F,F,F
Stop theese reminders,F,F,T,F,F,F,F,F,F,F
when bahubali 2 release,F,F,F,T,F,F,F,F,F,F
plz find me cheapest flights of the month of july to u.s.a,F,F,F,F,F,T,F,F,F,F
i'm looking for a flight,F,F,F,F,F,T,F,F,F,F
to,F,F,F,F,F,F,F,F,T,F
thank you shruthi 😊😊,F,F,F,F,F,F,F,F,T,F
3/10/2017,F,F,T,F,F,T,F,F,F,F
i am saying i need drink water reminder through calls not through massages,F,F,T,F,F,F,F,F,F,F
1.00pm,F,F,T,F,F,F,F,F,F,F
I lyk to purchase the 1st one..hydro power whey protein,F,F,F,F,F,F,F,F,F,T
But call me daily haan,F,F,T,F,F,F,F,F,F,F
I had bukd ticket for 20th,F,F,F,F,F,T,F,F,F,F
who will win todays game,F,F,F,F,F,F,F,T,F,F
tomorows fixture,F,F,F,F,F,F,F,T,F,F
not fixed,F,F,F,F,F,F,F,F,T,F
yo darling,F,F,F,F,F,F,F,F,T,F
when wl b d next match for us,F,F,F,F,F,F,F,T,F,F
top hospital,F,F,F,F,T,F,F,F,F,F
*offer,F,F,F,T,F,T,T,F,F,F
gujarati  film,F,F,F,T,F,F,F,F,F,F
change the timing for last to do,F,F,T,F,F,F,F,F,F,F
i want nearby nallasopara only,T,F,F,F,F,F,F,F,F,F
Hotel n travel plan,F,F,F,F,F,T,F,F,F,F
maim abhi to mere wallet me refund aya tha ab kha gya,F,F,F,F,F,F,F,F,F,F
hi sandeep,F,F,F,F,F,F,F,F,T,F
Mobiles,F,F,F,F,F,F,F,F,F,T
match score fast please,F,F,F,F,F,F,F,T,F,F
hi is it possible to set the payment mode as card,F,F,F,T,F,T,T,F,F,F
time:10a.m,T,F,T,T,F,T,F,F,F,F
"date: march 2, 2017",T,T,T,T,F,T,F,F,F,F
"hello ,,what's ur name?",F,F,F,F,F,F,F,F,T,F
2nd sleeper,F,F,F,F,F,T,F,F,F,F
Seat available in19223 on 12/09/16 from jodhpur to bhatinda class SL.,F,F,F,F,F,T,F,F,F,F
hi hasan,F,F,F,F,F,F,F,F,T,F
can u tell me the estimate fare??,F,F,F,F,F,T,F,F,F,F
No don't call mr,F,F,T,F,F,F,F,F,F,F
no of guests 2,T,F,F,F,F,T,F,F,F,F
i have been using uber cab already,F,F,F,F,F,T,F,F,F,F
how's uh??,F,F,F,F,F,F,F,F,T,F
he had scheduled it for 4pm,F,F,T,F,F,F,F,F,F,F
i want to go to mumbai from amravati. on 11th march.,F,F,F,F,F,T,F,F,F,F
can you tell which is last price in april,F,F,F,F,F,T,F,F,F,F
ohk so as a personal assistant can you help me out with results for best camera for home which are accessible on mobile anywhere,F,F,F,F,F,F,F,F,F,T
so there is no possibility of availability of tickets for that match online,F,F,F,F,F,F,F,T,F,F
i want to part time job in restaurant,F,F,F,F,F,F,F,F,F,T
I need a flight to goa,F,F,F,F,F,T,F,F,F,F
can i get someone who can make website,F,T,F,F,F,F,F,F,F,F
minimum recharge amount???,F,F,F,F,F,F,T,F,F,F
_date_ mache,F,F,F,F,F,F,F,T,F,F
ok not now,F,F,F,F,F,F,F,F,T,F
i want to book but no offers from ur side,F,T,F,T,F,T,F,F,F,F
good nigt,F,F,F,F,F,F,F,F,T,F
guwahati,F,F,F,F,T,T,F,F,F,F
here to sakaleshpura km,F,F,F,F,F,F,F,F,F,T
tell me my many was didect from my account,T,T,F,T,F,T,T,F,F,F
chennai to zurich....all around europe..paris..amsterdam...for a honeymoon couple...preferably march end or april 17..15 days...,F,F,F,F,F,T,F,F,F,F
What is the price of new iPhone 7,F,F,F,F,F,F,F,F,F,T
can you found atm near jammu bus stop??,F,F,F,F,T,F,F,F,F,F
everytine,F,F,F,F,F,F,F,F,T,F
The movies listed above are for 30th September right?,F,F,F,T,F,F,F,F,F,F
that's it,F,F,F,F,F,F,F,F,T,F
gn mahesh,F,F,F,F,F,F,F,F,T,F
thank you how much did kohli make,F,F,F,F,F,F,F,T,F,F
why i got a software update of 103 mb,F,F,F,F,F,F,F,F,F,T
aur kis jangha h.. map ke saath so kerna,F,F,F,F,T,F,F,F,F,F
i only have one account at haptik,F,F,F,F,F,F,F,F,T,F
hello plz confirm any seat possible delhi to gujarat in tatakal,F,F,F,F,F,T,F,F,F,F
"i want to reschedule my flight from march 5,2017 to march 3,2017",F,F,F,F,F,T,F,F,F,F
No no I'm not interested to watch this movie,F,F,F,T,F,F,F,F,F,F
like,F,F,F,F,F,F,F,F,T,F
"can you find me a shop near realbox data analytics pvt. ltd., sector 2, noida, uttar pradesh where i can get printouts?",F,F,F,F,T,F,F,F,F,F
is thr any pools,F,F,F,F,T,F,F,F,F,F
This last one in grey col,F,F,F,F,F,F,F,F,F,T
and i have received cashback only for one,F,F,F,F,F,T,T,F,F,F
plzz cheak it how many laboratory near by me,F,F,F,F,T,F,F,F,F,F
i want refund amount in my account.,F,F,F,F,F,T,T,F,F,F
IPhone 5c 32 price n oppo f1s price please,F,F,F,F,F,F,F,F,F,T
Margherita,T,F,F,F,F,F,F,F,F,F
nearest park to my location,F,F,F,F,T,F,F,F,F,F
which company u provide,F,F,F,F,F,F,F,F,T,F
"		i would like to cancel my wake up call for sun, 05 march at 07:00 am { reminder_list: 702748, user_id: 1981442, task_name: wakeup, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
agla match kiska hai,F,F,F,F,F,F,F,T,F,F
"hi shruti, i wanna grab a drink",T,F,F,F,T,F,F,F,F,F
okay thanq,F,F,F,F,F,F,F,F,T,F
send me updates for every over,F,F,F,F,F,F,F,T,F,F
book now,F,T,F,T,F,T,F,F,F,F
Hi I need to book a ticket,F,F,F,T,F,F,F,F,F,F
when will be the match start,F,F,F,F,F,F,F,T,F,F
even i'm nt sure,F,F,F,F,F,F,F,F,T,F
updates the run pliz,F,F,F,F,F,F,F,T,F,F
"		i would like to cancel my wake up call for mon, 06 march at 06:00 am { reminder_list: 725389, user_id: 1984495, task_name: wakeup, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
I want to order ahmedabad 15fix lunch,T,F,F,F,F,F,F,F,F,F
thanx a lot... 😊,F,F,F,F,F,F,F,F,T,F
I want to buy clothes,F,F,F,F,F,F,F,F,F,T
find me trains from bareilly to mumbai,F,F,F,F,F,T,F,F,F,F
yu mean ipl cup win the team srh,F,F,F,F,F,F,F,T,F,F
can you check availability of 1seat from jamnagar to thane in train 22946 on 13 the march 2017,F,F,F,F,F,T,F,F,F,F
when will the ind vs westindies cricket start what is the score if already started,F,F,F,F,F,F,F,T,F,F
oh tq pranay,F,F,F,F,F,F,F,F,T,F
pss m batao,F,F,F,F,F,F,F,F,F,T
Can I know if there is a train from Chennai egmore to pondicherry ?,F,F,F,F,F,T,F,F,F,F
please type in hindi,F,F,F,F,F,F,F,F,T,F
remind me to follow up for idbi account pls,F,F,T,F,F,F,F,F,F,F
thanks ishita,F,F,F,F,F,F,F,F,T,F
nope thank you,F,F,F,F,F,F,F,F,T,F
am searching for job any job in bangalore near kengeri,F,F,F,F,F,F,F,F,F,T
i am looking for navina cinema hall,F,F,F,T,F,F,F,F,F,F
Any other lounge near dadar,T,F,F,F,F,F,F,F,F,F
15K,F,F,F,F,F,F,F,F,F,T
Book huma,F,F,F,F,F,T,F,F,F,F
can u help me with visa,F,F,F,F,F,T,F,F,F,F
Is there a exchange offer coming in with iphone 6s ?,F,F,F,F,F,F,F,F,F,T
Near by bank,F,F,F,F,T,F,F,F,F,F
ssoorry,F,F,F,F,F,F,F,F,T,F
i want to book the flight ticket...banglore to patna,F,F,F,F,F,T,F,F,F,F
If doesn't work can return the product?,F,F,F,F,F,F,F,F,F,T
Hey can you explain the difference in 2nd tire ac and third tire ac?,F,F,F,F,F,T,F,F,F,F
how many contacts,F,F,F,F,F,F,F,F,T,F
scorecard of current ipl and match please,F,F,F,F,F,F,F,T,F,F
will i get mail??,F,F,F,F,F,F,F,F,T,F
i have shared among all,F,F,F,F,F,F,F,F,T,F
"		i want to know availability and fare in sleeper (sl) in train number 12668{product_id:12668_vpt_ms,api_name:trains_api}",F,F,F,F,F,T,F,F,F,F
m out not able now,F,F,F,F,F,F,F,F,T,F
yes wake up morning,F,F,T,F,F,F,F,F,F,F
Get me the list of all trains from jorhat to lumding or guwahati via lumding.,F,F,F,F,F,T,F,F,F,F
Are there not any more flights to Delhi?,F,F,F,F,F,T,F,F,F,F
Here any theatre playing inkokadu,F,F,F,T,F,F,F,F,F,F
where i can use rupay card for food delivery,T,F,F,F,F,F,F,F,F,F
i want deltin,F,F,F,F,F,T,F,F,F,F
i have told earlier,F,F,F,F,F,F,F,F,T,F
Please confirm seat No,F,F,F,F,F,T,F,F,F,F
is there a flight from chandigarh to kolkata,F,F,F,F,F,T,F,F,F,F
please provide the score,F,F,F,F,F,F,F,T,F,F
rangoon,F,F,F,T,F,F,F,F,F,F
