pid,sentence1,sentence2,label
295,looking for health checkup,price of  Swasth Plus Basic Health Checkup,0
297,want to get my report but I dont have Lab id,when will i get my report,0
298,Is there any promo code which we can apply,Is there any reminder for flights ticket,0
302,Offers,What services can you offer?,0
304,If prices drop same flight please remind me,I want to set reminder for price drop,0
306,What will be the Survival Benefits of GCAP,I wanna know about Survival Benefits,0
307,i want to change the store which is delivering to me,which store is delivering to me,0
309,change savings bank account,link new savings bank account,0
310,time to get refund of deposit,Can I return back the regulator and get the refund like the PSUs ?,0
311,Good Morning [user.name]. I can help you plan your week ahead. Let's set up a To-Do list for you,"Afraid of the Monday Morning Blues, [user.name]? I can help you wake up on time tomorrow. Let's set a wake up call now?",0
315,I would like to change my  drink water reminder,drink water,0
317,Get a joke daily,Stop daily jokes,0
318,Tell me exact fare from Mumbai to mangalore,Planning to go for trip to goa,0
320,How can I update IFSC code?,I want to update IFSC code,1
321,not married,married,0
323,any cash back,I not get Cash back,0
324,OTP not working,OTP not get,1
325,i want ticket from mumbai to pune,Need tickets,0
326,I havent receive any pin,pin didnt receive,0
327,This is the correct order ID,That's my correct ID,0
328,What is SME Exchange?,SME Exchange,1
330,Still not received Amazon Cashback,Did not receive,0
331,still doesn't work,still not functional,0
332,its not working,password not working,0
333,I want to know interest rates,Interest Rates,0
334,Give me your no.,send me ur no.,1
336,Why i didnt got the cashback,24 hours still not got cashback,0
337,I don't know my star sign,I don't know english,0
339,unable to login,unable to pay,0
340,I need a invoice copy,I want invoices,1
345,recommend me Flight Tickets,I want flight rate,1
347,mseb maharashtra,MSEB,0
348,get started,start,0
350,Still not getting connected.,still not working,0
354,When the price will be announced,Can u please track the price for me and let me know when the price falls,0
355,I would like to buy my dream car,I want to buy,0
356,I can't understand how to play.,How to play?,0
357,i need wifi,Need Wifi password,1
358,I want to check the price of this test,rate of the test,1
359,i want discount on flight tickets,want to purchase Flight Tickets,0
360,find Flight Tickets,I want flight status,0
361,cashback on flights,Show me some offers on flights.,1
362,I need a reminder for calling someone,list of my reminder,0
363,"I checked, this is the right ID",That was the right ID,1
364,I gave the correct ID.,I've already given the correct ID.,1
366,to buy Flight Tickets,Hi i want to book flight tickets .,1
367,test charges,I wanted to know the HCV RNA blood test fee,0
368,cancel my flight,show me zero stop flights,0
369,available train tickets from vizag to Mumbai,i want to go from mumbai to pune,0
373,show me flights from mumbai to pune,want flight fare alert,0
375,Is there any discount if book from haptic,Are there any cashback offers,0
377,Cheaper Fare,set cheapest fare alert,0
378,terms and conditions for predict quiz,quiz terms and conditions,0
379,33 KG Cylinder,how can i get a 4kg cylinder,0
380,Find the closest lab near me,Find nearby center,1
381,I want Lead bot,Lead Bot,1
383,Can you schedule a reminder for calling someone,set a reminder,0
384,terminal number of this flight,I dont remember the flight number,0
385,Your personal number,Can you give me your personal number,1
386,Amount not visible,my friend is not visible,0
387,how to sign out,how to download this app,0
388,emergency numbers,Share some emergency numbers,1
392,I gave the right ID,That ID is right,1
393,Terms and Conditions,bollywood Terms and Conditions,0
394,Give me your pic,Give me your mobile number,0
395,How to check my report status,I want to check report,1
396,Calculate,Calculate my EMI,0
398,Mental professional contact,Mental professional contact List,1
399,I would like to cancel my,I want to cancel my tomorrows reminder,0
400,Survival Benefit,Need to know the Survival Benefits of saral nivesh plan,0
401,reminder to call modification,need to call phone,0
402,I am from other location,Other location,1
403,I want to search for a reminder,want reminder for repeat_banner,0
404,stop pnr alert,stop pnr,1
405,Approx premium will be?,premium,0
406,How to get promocode,didnt get cashback,0
408,Manage my flight bookings,want to buy Flight Tickets,0
409,I would like to book a flight ticket,I need to book a flight,1
410,I want offers on flights,Some awesome cashback offers on flights.,0
414,What services you provide,tell me list of services you offer,0
415,schedule a reminder phone,set reminder,0
420,I am getting all these flights for 5000 or 6000,Please proceed with below flight from Delhi to Bangalore for 1 adult onward flight air dep 00 00 1 dec dep 00 00 1 dec,0
421,I want to book flight tickets for NH7 weekeender,Want to book my seat,0
422,password received,not receiving password,1
425,Play quiz,What is the time for playing the quiz,0
426,sorry change that reminder,change my  reminder,1
427,I don't want to play,Play,0
430,I am still facing issue,i am facing issue with mobile app,0
431,IPL tickets,Can you book IPL tickets,1
433,I wanna look for flights,show me flights from mumbai to pune,0
436,can cash back be used in,I didn't get my cash back,0
438,make a reminder birthday,make a reminder exercise,0
439,Verify with another phone number,I have mobile number,0
440,I need to book tickets,I need to book a flight,1
444,Can u send ur picture,Can u send me your number,0
445,calculate premium for wealth plus,wealth plus,0
448,I want to check the price of this test,I want to check flights,0
454,Customer care number?,customer care number,0
455,I want to book round trip,like to purchase Flight Tickets,0
456,not working,still not working,0
457,Hotel Safety tips,Safety tips Industry,0
458,May I please know the Premium for Total Secure,Can I please know the Total secure plan,0
459,I need a reminder to drink water,want reminder for,0
460,want a loan for new home,New home loan,0
461,show your picture,I want your number,0
462,Help me with Survival Benefits of My life,I wanna know about Survival Benefits,0
463,I want to delete all my reminders,I would like to cancel my,0
465,All reminder cancel,remove reminder,1
466,My refund amount,Amount will refund to my bank account or haptik account,0
468,total secure+,Calculate Total Secure Plus Premium,0
471,want reminder for walk,show reminders,0
472,cheap rate for mumbai to delhi,14 th feb morning flight to goa 7 adults 2 kids,0
473,I want to know the flight prices to Delhi,And back to kochi on night 03 dec,0
475,how much is the premium for GCAP,premium for GCAP,1
477,How much amount I will get cash back if I book this flight,Book a flight,0
478,I am looking to get my,I need to get a test done mam,0
479,Share the Key Features of Criticare,Key Features,0
480,May I please know the Premium for GCAP,Need your help to know the Premium for GCAP,1
481,view all flights,stop all flight alerts,0
482,BSNL landline bill payment is not available in this site,WBSCDCL not available here,0
483,I need a call to remind me to drink water,remind me to,0
484,Products,back to products,0
487,Tell me more about LPG's environmental benefits,Tell me more about the cost,0
488,any offer on mobikwik,any discount on flight booking,1
489,I gave the correct order ID,My order ID is right,0
490,Airtel landline bill pay?,i want to pay my bill,0
493,available train tickets from vizag to Mumbai,Send me flight timings from Mumbai to Delhi,0
495,The order ID is right,Can you help me find my order ID?,0
496,Cash bonus not reflecting,Cash bonus not showing,1
498,I need for 8 persons,i want 12B 12C,0
499,complaints,already submitted complaints,0
500,That was the correct order ID,Can you help me find my order ID?,0
501,How much will your charge for closing the account?,"I wish to close my account, but I have my holding in it",0
504,Need invoice of my air tickets,I want invoices for my test,0
506,I want to book flight tickets for Diwali,Want to book my seat,0
511,I need to know the time,i want to know about weather,0
516,When do I start repaying the loan,How to repay my loan,0
517,Your price is high in comparison with goibibo,Your price is high in comparison with paytm,1
522,to buy Flight Tickets,I want to book a flight,1
523,Any promo codes for flight booking,Book flights,0
525,any offers currently available on flight booking,what is the current offer,0
528,features,Key Features,0
529,am I eligible for any cricket prize today,How will I get the cricket prize,0
530,I already have manifold setup? Does your cylinders fit into this installations ?,Do you also provide the manifold setup?,0
531,i want discount on flight booking,Book flight,0
533,How will I get to know about bollywood prize?,How will I get the prize,0
536,cheaper than you,Pls send me cheapest fare,0
537,That's the right order ID,Please help me find my order ID,0
538,found cheaper fare elsewhere,cheapest fare guarantee,0
539,schedule a reminder exercise,exercise reminder,1
540,when will prizes be announced?,prize announcement,1
541,cheapest flight guarantee,I want alerts for cheapest flight,0
542,offers,Cashback Not Received,0
546,What you think who will win today,Yesterday ipl match who won,0
547,That order ID is correct,ID is correct,1
548,Hi! Please help me with flight bookings. .,"Hey there, can you help me with flights? .",0
549,I want to book a flight,I want to book bus tickets for NH7 weekeender,0
551,what is my rank in gk,My rank in gk?,1
557,Show for 7pm,please proceed below flights new delhi to bangalore 1 adult - onward flight - 3038 jet airways 9w-823 dep 02 50 pm 29 dec,0
558,Tell me another Health benefit,Show more Health Tips,0
559,Change Relationship Manager,unable to contact relationship manager,0
561,I have done shopping,today I have done shopping,1
563,no i dont,no it is not active,1
564,My order ID was right,Can't find order ID.,0
565,Please email the tickets,I didnt get the ticket in email,1
568,show me Jet Airways flights,can you look for airasia,1
569,Show for 7pm,I want 15 no seat,0
570,I tried the steps and it is still not working,Mobile App not working,0
571,looking Flight Tickets,show flights on,1
572,schedule a reminder birthday,set a reminder jog,0
573,show me ur pic,can u give me ur number,0
574,How can I use referral code,I want to use referral code,1
575,schedule a reminder exercise,Can you schedule a reminder for meeting,0
577,Please tell me best domestic flight offer,i want to fare of domestic flights,0
578,How do I get refund of Cylinder deposit?,time to get refund of deposit,0
579,please email me my ticket,I didnt get the ticket in email,1
580,calculate premium for mylife,calculate premium,0
582,project Possession date,possession date for my project changed?,0
583,Having login issues,login error message,0
585,Any offers,Is there is any coupon,1
586,"Hey, can you set a reminder for me to walk?  .",set reminder medicine,0
588,Calculators,Calculate my EMI,0
593,I want to switch relationship manager,i am not getting services from relationship manager,0
594,I am getting all these flights for 5000 or 6000,view all flights,0
596,Score,view latest score,0
598,i want discount on flight tickets,Can u email me flight tickets,0
601,Want to book a train,I want to book ticket,0
604,Is there any offer on electricity bill payment?,I recharged my mobile using phonepe and I cant find any cashback,0
605,Whats the charge for the test,whats the cost for it,1
607,after that what is to be done?,what is to be done,1
612,i am in trouble,Someone is troubling me,0
613,I gave the correct ID.,That's my correct ID,1
615,Book a flight from Mumbai to Delhi,please proceed below flights new delhi to bangalore 1 adult - onward flight - 3038 jet airways 9w-823 dep 02 50 pm 29 dec,0
621,I want to check a trains arrival at station,train arrive at station,1
622,schedule a reminder walk,set a reminder,0
623,Any offer running on uber?,Are there any cashback offers,0
624,I want to check the last fund credited in my account,I want to check account opening form,0
625,Fanta has too much sugar,quantity of sugar in fanta,1
627,remaind me about birthday,remaind me about,0
634,I need to book a flight,I want to book flight tickets for New Year,0
635,ok,ok. tell me more,0
637,it worked,Not working,0
639,Total Secure plus,calculate premium for total secure plus,0
642,Please refund me,Didn't receive Refund,0
643,change my address,i want to change my address,1
645,Calculate eligibility again,Calculate my eligibility,0
646,I want to speak to customer care.,I want to speak to a human,1
647,i want offer on flight tickets,Cheap flight tickets,0
649,Show next Health benefit,Show more health benefits,0
651,any discount on flight booking,Book me a flight,0
654,recommend me Flight Tickets,I wanna look for flights,0
655,No i need to check fares for dec 23,Do not sent reminder,0
656,view all flights,show all prizes,0
658,Tell me more about Click2Protect Health Plan,Tell me more about HDFC Life Easy Health Plan,0
660,Any offer,Any Offers on Movies,0
661,Changing my booking was difficult,booking was difficult to make,0
663,why so many error messages,Receiving error message,0
665,remind me about walk,remind me about,0
666,Key Features,Share the Key Features of GCAP,0
671,What is surge,What surge amount is required?,1
672,I want to update nominee,Update nominee,1
676,I need a call to remind me to drink water,Can you remind me to exercise,0
677,Give me information about Survival Benefits,Help me with Survival Benefits of saral nivesh,0
678,like to purchase Flight Tickets,want Flight Tickets,0
679,What are the key features of GCAP,Key Features,0
680,price is high,Your Prices too high,1
684,What is your name,what is your customer support number,0
686,Yes I am married,i am married,0
688,"Hey, can you find me the nearest place for car repair?  .",suggest me closest place with wifi,0
692,Electrical service,other electrical services,1
694,Its from domestic Airport,Is it from domestic,1
695,Cash payment,online payment or cash,1
696,Advertising,charges for advertising,0
697,any deal,Is there any cashback,1
698,I want to check schedule of a train,i want to check in,0
699,When I will get confirmation message?,When will i get cashback,0
700,Will your calls affect my balance?,your call is important to me,0
701,Any offer,Are there any discount or cashback offers,0
703,Bill payment,Bangalore electricity bill payment,0
706,Any cashback on recharges,I recharged my mobile using phonepe and I cant find any cashback,0
708,I want to book ticket,via ticket booked,0
709,Daily Horoscope Modification,modification Daily Horoscope,0
711,How much amount I will get cash back if I book this flight,Book flight,0
712,how to connect,how are you,0
718,I wanna know about Survival Benefits,What will be the Survival Benefits of my life,0
720,My order ID is right,That order ID is correct,0
721,Wow! Tell me more,Wow,0
722,I want to go to penang from ahmedabad,Planning to go for trip to goa,0
723,My order ID is right,"I don't understand, this is the right order ID",0
726,Do you provide safety training to your customer?,Safety Training LPG,0
727,Daily jokes,can you please send me jokes daily,1
728,what all calculators,what all documents are required,0
729,looking for closest bus stop,bus stop,1
730,I want to buy bugatti vearon,I want to buy home,0
733,Hi please help me with flight bookings .,"Hey, I want to book a flight ticket .",0
734,my pin is not working,doesnt work,0
735,supply LPG industries,Do you supply LPG for aerosol application also?,0
736,pin on chat,not getting pin,0
737,Do you supply LPG for aerosol application also?,LPG Supply,0
739,Send my money back,Muje cash back nahi mila,0
741,35 lacs,Upto 1 lacs,1
744,I want to talk to your next level,I don't want to talk to Machines,0
747,start flight alert,Please set a cheap flight alert,0
748,My booking,Book flights,0
750,Visit to the dentist,Can I talk to Dentist?,0
752,test cost,I wanted to understand the cost for test,0
755,I want to search for a reminder,view my reminder,1
759,premium,what is the premium,0
760,Can i get a receipt,When i got receipt ?,1
761,From which terminal,Which terminal,1
763,Book flights,book flight later,0
764,This is my ID only,Where can I find my order ID?,0
765,Cashback not received,I did not receive my refund on flight cancellation,0
767,Still it is not getting connected,OTP not get,0
769,i want to know something about teams,tell me about teams,1
770,change date time,I want to modify the dates times,1
771,how can i talk to customer support,I don't want to talk to Machines,0
775,remind jog,call to remind exercise,1
777,want train tickets from mumbai to pune,Flight from delhi to srinagar,0
778,what is the premium for mylife,Need your help to know the Premium for mylife,1
781,"Hey, can you set a reminder for me to wish anniversary?  . .","Hey, can you set a reminder for me to jog?  . .",0
784,That was the correct order ID,My order ID is right,0
785,Slut,Bullshit jokes,0
786,i want offer on flight booking.,any flight deals,0
791,I am marry,not married,0
792,may i know the cost of the test,Liver function test charge,0
793,Any discounts available for purchase of tickets,any offer running on flights,0
794,Is Amazon cash back offer valid for electricity bill payment,Electric bill payment,0
795,Can relatives/friends children use the vouchers?,use voucher,0
801,What is Survival benefits?,Survival Benefit,1
802,what services do you have for cars?,what are the services you offer,0
803,Modify this exercise reminder,reminder exercise,0
806,35 lacs,Between 80-90Lacs,1
809,i need some time to book it,I want to book ticket,0
810,Is there is no coupon code for this flight,Cashback not received,0
811,Not now,No,0
814,All Details,Want to review the details of all my policies,0
815,450 KG Maxima Cylinder,4 kg cylinder,0
818,Cant you see above,Cant take this non sense any more,0
820,domestic flights booking,want to purchase Flight Tickets,0
824,cuticle removal nail filing clipping scrub massage nail paint application,cuticle removal dead skin removal nail clipping scrub massage nail paint application,1
825,Jamshedpur Electricity bill,electricity bill,0
827,The ID I gave was right,I gave the right ID,1
828,any offer running on flights,Any discounts available for purchase of tickets,0
831,Can u email me flight tickets,want to buy Flight Tickets,0
832,Your Prices too high,Your price is high in comparison with goibibo,1
833,need flights from mumbai to pune,provide me Flight Tickets,0
834,I not get Cash back,Why i didnt got the cashback,0
835,can cash back be used in,Cash back not received Amazon pay,0
836,I gave a true order ID,Can't find order ID,0
837,I want to know flight calendar,I want to know the flight prices to Delhi,0
838,I want flight rate,stop flight fare alert,0
839,Send me horoscope updates daily,I would like to cancel my Daily Horoscope updates,0
840,modify a reminder,sorry change this reminder,1
841,I can't find my order ID.,Can you tell me where is my order ID?,0
842,I dont have a SIM,I got no sim card,1
843,No i need to check fares for dec 23,i want to check in,0
845,More than 10L,Less than 5L,0
847,cricket prize announcement,prize announcement,1
848,Can u email me flight tickets,to buy Flight Tickets,0
849,Manage my flight bookings,Please book a flight,0
851,show your picture,can you give me ur number,0
852,i want to book cab,Please retry the cab booking.,0
854,What are the commercial cylinder sizes ?,What would be the escalation matrix for commercial cylinders,0
856,I have checked it. The ID is correct,ID is correct,1
860,change address,i want to change my address,1
861,I want visa information,Visa required,1
863,i want discount on flight booking,Do u have any offer for flight,0
864,Fare too high,Too high,0
867,My connection is not indian,My SIM card is not Indian,1
868,I would like to book a flight ticket,Price of flight tickets to Switzerland,0
869,what are the important features of mylife,What are the important features of Total Secure,0
872,show the leader board,show quiz leader board,0
873,not able to transfer funds to my account,transfer to bank a/c,0
874,What will be the premium for mylife,May I please know the Premium for mylife,1
877,i want discount on flight tickets,what are offers on flight booking,0
878,It was really good,Very good,0
880,Gym,reminder jog,0
881,still doesn't work,not working,0
882,more stories,send more stories,1
883,Some awesome cashback offers on flights.,tell me about discount deal on flights,1
884,What is the mode of payment in case of a refund?,What are the different payment modes for booking a tour?,0
886,share nearby atm,nearby atm,1
889,I want to go to penang from ahmedabad,I want to know the flight prices to Delhi,0
890,I want to switch relationship manager,unable to contact relationship manager,0
891,Number is right,That was the right ID,0
893,total secure+,eligibility criteria for total secure plus,0
897,Cricket team,Your favourite cricket team?,1
898,Took too long to change my ticket,Took me such a long time,0
899,May I please know the Premium for Saral Nivesh,Saral Nivesh,0
900,Customer care number,What's the customer care number?,1
901,I want to paint my office,paint my office,1
902,Visa,Do i need visa,0
903,This is the correct order ID,That was a valid order ID,0
904,i want flights from mumbai to delhi,Send me flight schedule,0
905,calculate premium for criticare,What will be the premium for Criticare,1
906,Do u have any promocode,Is there any offer on train tickets,0
907,delete reminder,Delete this,0
908,The amount is debited from my bank account but balance is not showing,account balance,0
910,I want offers on flights,Is there student concession flights,0
911,I am interested,Not Interested,0
913,Process to get Evolve ID Card,Why can�t I get the evolve cards for both my tenants and myself (owner)?,0
917,what the eligibility criteria,Eligibility,0
918,How to connect free wifi with out  mobile number,i don't have a mobile number,0
919,sir I am cashback not receive,Cashback not come,0
921,still not functional,still not working,0
923,Getting error while getting connected,"Got Connected, thanks",0
924,I gave a true order ID,That's the right order ID,0
926,found cheaper fare elsewhere,set cheapest fare alert,0
927,update the nominee,provide the documentation details to update nominee who is minor,0
928,What is Currency Trading,Trading in currency,1
929,when will bollywood prizes be announced?,when will prizes be announced?,0
932,had not received,No,0
934,I am having problem in Login,I am having problem connecting,0
937,Can you please mail me the ticket again,Please email the tickets,1
938,I need a reminder for exercising,need a reminder,0
941,all r very costly,These are very expensive,0
943,how to book water park tickets.,I want to book a flight,0
947,show me amenities,Amenities,0
949,pin not working,pin didnt came,0
950,stop alert flight,stop alerts,1
951,17kg,price of 4 kg,0
952,i want to delete my account,I would like to cancel my,0
953,Dont send,Don't need convenience,0
957,time taken to list a loan,verify prior to listing loan,0
959,total secur,benefits of total secure,0
961,Current Status of PNR train,Status of PNR train,1
962,Key Features,features,0
963,Need ola,I want ola at 5th November for 6 pm,0
967,sorry i dont want send a joke daily,I don't want to listen,0
971,Is this the final price I have to pay No offers available,Cashback not received,0
973,offer,Didnt receive cashback,0
974,Share the details of premium,premium,0
976,how to delete the app,I want to delete my reminder,0
977,Train ticket booking,help me with train tickets,1
981,24th December,14 th feb morning flight to goa 7 adults 2 kids,0
982,hw to connect,still unable to connect,0
983,remind me to,Thanks to remind me,0
984,I had a terrible experience with customer service,good customer service,0
986,calculate premium for criticare,calculate premium,0
987,New Homes,I want to know about new homes loan,0
988,suggest Flight Tickets,want to purchase Flight Tickets,0
990,please help me with my booking details,Please send my booking details.,0
991,I would like to book a flight ticket,Is there any reminder for flights ticket,0
992,when will cricket prizes be announced?,cricket prizes,0
998,I want to review all the Key features.,Key Features,0
999,any cashback on flight booking,any offers on buses,0
1000,any discount on flight booking,Please book a flight,0
1001,Urine routine analysis,Urine routine,1
1002,I gave the correct ID.,ID is correct,1
1003,Want to book flight from Mumbai to Delhi,I need to book a flight,0
1004,Can you schedule a reminder for exercise,prepare a reminder jog,1
1005,phonepe cashback not received,Cashback not receive,0
1007,Remove all chats,cancel all daily reminders,0
1008,need flights from mumbai to pune,find Flight Tickets,0
